OBJECTID,STREET_NAME,LENGTH_MILES,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,CATALYTIC_PROJECTS,STATUS,NETWORK,COMPKEY,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,Shape,Shape_Length
707,WALLINGFORD AVE N,0.05127184,,,Neighborhood Greenway,0,NA,LOCAL,13377,599,,,"(47.664292868000075, -122.33641372399995)",270.7153033
708,N 36TH ST,0.06093231,,,Neighborhood Greenway,0,NA,LOCAL,15330,588,,,"(47.650533523000036, -122.34267836199996)",321.7226168
709,N 42ND ST,0.05572761,,,Neighborhood Greenway,0,NA,LOCAL,15477,301,,,"(47.657960811000066, -122.33378961799997)",294.2418039
710,N 88TH ST,0.04536531,,,Neighborhood Greenway,0,NA,LOCAL,15991,411,,,"(47.69232664500004, -122.33801562699995)",239.5288197
711,EAST STEVENS WAY NE,0.47572252,12/31/1776 12:00:00 AM +0000,,Sharrow,0,NA,LOCAL,,,,,"(47.67585567700007, -122.25309635499997)",2511.552771
712,E PINE ST,0.06005313,12/31/1990 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,14632,0,,,"(47.61523114200003, -122.32341547099998)",317.0805154
713,NE RAVENNA EB BV,0.0806032,12/31/2015 12:00:00 AM +0000,"In Street, Major Separation",,0,MEETS,CITYWIDE,18059,661,,,"(47.679817015000026, -122.32571289799995)",425.5849069
714,5TH AVE NE,0.06304128,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,7321,0,,,"(47.691308726000045, -122.32301054599998)",332.8579392
715,57TH AVE S,0.04395707,12/31/2015 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,7788,0,,,"(47.54425635100006, -122.26179882099996)",232.0933454
716,S MCCLELLAN ST,0.01782636,12/31/2009 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,20822,0,,,"(47.57834100900004, -122.28830386399994)",94.1232039
717,12TH AVE,0.05775685,12/31/1990 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,1526,0,,,"(47.604360385000064, -122.31678113299995)",304.956144
718,13TH AVE S,0.1255609,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,1794,0,,,"(47.56531609700005, -122.31599629199997)",662.9615724
719,17TH AVE NW,0.04933803,12/31/2015 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,2449,150,,,"(47.675280318000034, -122.37888121199995)",260.5047859
720,39TH AVE NE,0.12636958,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,5991,0,,,"(47.67578527500007, -122.28589655499997)",667.2313581
721,SAND POINT WAY NE,0.09379541,,,"In Street, Minor Separation",0,NA,LOCAL,12734,775,,,"(47.69615724200003, -122.27668722099997)",495.2395862
722,SEWARD PARK AVE S,0.0754591,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,12790,0,,,"(47.554304872000046, -122.26463598599997)",398.4240594
723,STONE WAY N,0.03749056,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,12959,0,,,"(47.654120093000074, -122.34250125799997)",197.9501756
724,S ORCAS ST,0.05519111,,,"In Street, Minor Separation",0,NA,LOCAL,21002,763,,,"(47.551120893000075, -122.26586429899999)",291.4090853
725,AIRPORT WAY S,0.10084208,,,"In Street, Major Separation",0,NA,CITYWIDE,8684,357,,,"(47.564518828000075, -122.32279682499995)",532.4458026
726,SWIFT AVE S,0.08188013,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,13037,0,,,"(47.55038680600006, -122.31351966899996)",432.1917992
727,S NEVADA ST,0.05886723,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,20931,0,,,"(47.56531609700005, -122.31599629199997)",310.8189682
728,8TH AVE NW,0.02553539,12/31/1990 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,8403,0,,,"(47.68473009500008, -122.36600690999995)",134.8268453
729,34TH AVE,0.09082667,12/31/2012 12:00:00 AM +0000,Sharrow,,0,MEETS,LOCAL,5204,0,,,"(47.607940788000064, -122.28942373399997)",479.5648067
730,FREMONT AVE N,0.02616515,,Neighborhood Greenway,,0,MEETS,CITYWIDE,10549,0,,,"(47.706505168000035, -122.35010787999994)",138.1519211
731,PINE ST,0.04365023,12/31/1990 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,12225,0,,,"(47.61492109100004, -122.32871169899994)",230.4530851
732,WINONA AVE N,0.09833289,,,"In Street, Minor Separation",0,NA,LOCAL,13625,860,,,"(47.682772372000045, -122.34448441399996)",519.1976546
733,15TH AVE S,0.0593644,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,2170,0,,,"(47.55124592100003, -122.31349300999995)",313.4440432
734,M L KING JR WR WAY S,0.14528004,,,"In Street, Major Separation",0,NA,CITYWIDE,11566,546,,,"(47.52991717500004, -122.28076025499996)",767.019811
735,39TH AVE NE,0.12976617,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,5993,0,,,"(47.679414949000034, -122.28606699099998)",685.1653613
736,PHINNEY AVE N,0.0815011,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,12139,680,,,"(47.660221619000026, -122.35438047099996)",430.3257827
737,17TH AVE NW,0.01899675,12/31/2015 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,2435,150,,,"(47.666438054000025, -122.37888659699996)",100.3028445
738,NW 57TH ST,0.09510514,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,18484,0,,,"(47.67041586700003, -122.39908072999998)",502.1551473
739,E PINE ST,0.02885857,12/31/1990 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,14628,0,,,"(47.61521815300006, -122.32680418899997)",152.3713812
740,N 43RD ST,0.04925601,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,15484,0,,,"(47.658962064000036, -122.35438800999998)",260.0717315
741,15TH AVE S,0.05714761,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,2158,0,,,"(47.56433107000004, -122.31350185899998)",301.7394022
742,17TH AVE SW,0.02443718,12/31/2015 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,2512,819,,,"(47.51919642200005, -122.35649009499997)",129.028318
743,DELMAR DR E,0.06541672,12/31/2008 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,9955,0,,,"(47.64257154400008, -122.31794935999994)",345.3937089
744,51ST AVE S,0.07693374,12/31/2008 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,7528,0,,,"(47.51826498100007, -122.27000603099998)",406.2097548
745,63RD AVE SW,0.03530527,,"In Street, Minor Separation",,0,MEETS,LOCAL,8117,329,,,"(47.57413627200003, -122.41340385299998)",186.4118376
746,32ND AVE NW,0.04851606,12/31/2009 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,4976,0,,,"(47.66949677400004, -122.39832191399995)",256.1647993
747,6TH AVE S,0.05793844,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,7984,0,,,"(47.59835381900007, -122.32636388399999)",305.9149896
748,MOUNT RAINIER DR S,0.11355246,12/31/2009 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,11928,0,,,"(47.57821246800006, -122.28765740799997)",599.4610566
749,NW 58TH ST,0.05038129,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,18488,0,,,"(47.67087946700008, -122.36185318999998)",266.0131878
750,8TH AVE NW,0.05039336,12/31/1990 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,8387,0,,,"(47.670889902000056, -122.36617390599997)",266.0769313
751,PHINNEY AVE N,0.04925174,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,12143,680,,,"(47.66359297500003, -122.35396926699997)",260.0491679
752,S HOLGATE ST,0.07112615,,"In Street, Minor Separation",,0,MEETS,LOCAL,20319,0,,,"(47.58617011700005, -122.32906226399996)",375.5460777
753,16TH AVE SW,0.12248222,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,2331,0,,,"(47.553690791000065, -122.35479706899997)",646.7061375
754,24TH AVE NW,0.05034267,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,3595,0,,,"(47.672373985000036, -122.38758712099997)",265.8092949
755,24TH AVE NW,0.05034652,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,3596,0,,,"(47.67310269700005, -122.38758659199999)",265.8296247
756,15TH AVE S,0.04924041,12/31/2009 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,2140,0,,,"(47.58369468500007, -122.31338667999995)",259.9893441
757,S HENDERSON ST,0.17100673,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,20245,0,,,"(47.52330726800005, -122.26998603899995)",902.9155248
758,26TH AVE SW,0.04999984,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,3941,0,,,"(47.56617305700007, -122.36546107199996)",263.9991527
759,CORSON AVE S,0.05973963,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,9820,0,,,"(47.56169453700005, -122.31685490699999)",315.4162518
760,S GENESEE ST,0.11750029,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,20105,0,,,"(47.56410091300006, -122.27449412799996)",620.4015362
761,23RD AVE S,0.07165964,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,3466,0,,,"(47.57508297600003, -122.30332852899994)",378.362888
762,E PINE ST,0.0365537,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,14634,0,,,"(47.61523531100005, -122.32079865299994)",193.0035541
763,EASTLAKE AVE E,0.06591802,12/31/2008 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,10169,468,,,"(47.626877027000035, -122.32921630899995)",348.0471402
764,21ST AVE S,0.0265208,,,"In Street, Minor Separation",0,NA,LOCAL,3181,172,,,"(47.57873784900005, -122.30536719399998)",140.0298181
765,LAKE WASHINGTON BLVD E,0.0337407,12/31/2012 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,11214,434,,,"(47.64110465400006, -122.29787402099998)",178.1508942
766,LAKEVIEW BLVD E,0.21827571,12/31/2011 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0,UPGRADE,LOCAL,11278,382,,,"(47.62832451000003, -122.32709992299999)",1152.488447
767,THACKERAY PL NE,0.12588678,12/31/2012 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,13129,536,,,"(47.66316862700006, -122.32615210799997)",664.6821786
768,EAST MARGINAL WAY S,0.13862921,12/31/2000 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,14387,460,,,"(47.57370695000003, -122.33969922799997)",731.9610699
769,EAST MARGINAL WAY S,0.12051817,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,14419,461,,,"(47.53426725400004, -122.313197533)",636.3359547
770,E UNION ST,0.06106657,12/31/2008 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,14895,450,,,"(47.612905099000045, -122.31016807799995)",322.4315002
771,NE PRINCETON WAY,0.09294055,,,"In Street, Minor Separation",0,NA,LOCAL,18054,872,,,"(47.674863704000074, -122.27481708199997)",489.8849055
772,BEACON AVE S,0.63306712,12/31/2007 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",1,UPGRADE,CITYWIDE,166849,372,,,"(47.57091479300004, -122.30786554399998)",3342.594405
773,GILMAN AVE W,0.02284246,12/31/1980 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,336163,492,,,"(47.66115321500007, -122.39390328099995)",120.6081818
774,10TH AVE E,0.12489763,12/31/2008 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,1300,102,,,"(47.63954711200006, -122.320062872)",659.4594641
775,GREENWOOD AVE N,0.05077218,12/31/1990 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,10741,497,,,"(47.68255377200006, -122.35530042799996)",268.0771306
776,MAGNOLIA BLVD W,0.12617064,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,11619,557,,,"(47.64679319900006, -122.41425457199995)",666.1809472
777,QUEEN ANNE AVE N,0.08382069,12/31/2009 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,12314,684,,,"(47.63838254400008, -122.35692659699998)",442.5732304
778,EAST GREEN LAKE DR N,0.03221558,12/31/1980 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,14057,457,,,"(47.68029316900004, -122.32582592399996)",169.9826675
779,FREMONT AVE N,0.05005123,,Neighborhood Greenway,,0,MEETS,CITYWIDE,10534,0,,,"(47.69420140100004, -122.34995493399998)",264.2704924
780,RAINIER AVE S,0.03971603,,,"In Street, Major Separation",0,NA,CITYWIDE,12360,693,,,"(47.58365639700003, -122.30219857799995)",209.7006568
781,RAVENNA AVE NE,0.15483257,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,12476,0,,,"(47.69391706300007, -122.30355705)",817.3029945
782,26TH AVE SW,0.05001467,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,3942,0,,,"(47.56544934500005, -122.36547225699996)",264.0774582
783,8TH AVE NW,0.05057889,12/31/2008 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,8374,0,,,"(47.661461098000075, -122.36617373599995)",267.0565526
784,COLLEGE WAY N,0.14139919,12/31/2015 12:00:00 AM +0000,"In Street, Major Separation",,0,MEETS,LOCAL,9703,0,,,"(47.70141154500004, -122.33510998399998)",746.2099551
785,S WILLOW ST,0.01258444,12/31/2015 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,21554,0,,,"(47.540680045000045, -122.28287140699996)",66.4458414
786,12TH AVE,0.08071307,12/31/2009 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,1547,0,,,"(47.61526393300005, -122.31685416899995)",426.165011
787,25TH AVE NE,0.0771744,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,3734,0,,,"(47.686674346000075, -122.30086883999996)",407.4023472
788,AIRPORT NB WAY S,0.02507282,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,8705,0,,,"(47.59296044100006, -122.32323634299996)",132.3592869
789,ROOSEVELT WAY NE,0.03235632,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation",,0,MEETS,CITYWIDE,12610,704,,,"(47.67226898800004, -122.31736339599996)",170.8413635
790,STONE WAY N,0.05305817,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,12971,0,,,"(47.66286553000003, -122.34159597699994)",280.1471478
791,TAYLOR AVE N,0.06055109,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,13081,0,,,"(47.62803021700006, -122.34623825299997)",319.7097577
792,W NICKERSON ST,0.04694175,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,23616,0,,,"(47.65472590600007, -122.37154483899997)",247.852426
793,CHERRY ST,0.06092623,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,9659,0,,,"(47.60255532900004, -122.33428108199996)",321.6905148
794,NW 58TH ST,0.12274553,12/31/2012 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,18495,0,,,"(47.67089968200003, -122.37358196599996)",648.0964088
795,S HENDERSON ST,0.08313007,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,20246,0,,,"(47.52329786700005, -122.26633170999997)",438.9267918
796,MERIDIAN AVE N,0.04934837,,,"In Street, Minor Separation",0,NA,LOCAL,11795,568,,,"(47.66286580600007, -122.33373725099995)",260.5593907
797,NE RAVENNA EB BV,0.05064593,12/31/2015 12:00:00 AM +0000,"In Street, Major Separation",,0,MEETS,CITYWIDE,18069,660,,,"(47.67150652400005, -122.31518974099998)",267.4104871
798,5TH AVE NE,0.04959961,12/31/2009 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,7304,0,,,"(47.68016309800004, -122.32285939399998)",261.8859322
799,8TH AVE,0.08066517,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,8283,0,,,"(47.61495251800005, -122.33529537599998)",425.9120992
800,FREMONT AVE N,0.05002618,,Neighborhood Greenway,,0,MEETS,CITYWIDE,10533,0,,,"(47.69347729400005, -122.34994633499997)",264.1382532
801,15TH AVE S,0.06112526,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,2146,0,,,"(47.57775317100004, -122.31335986699997)",322.7413783
802,16TH AVE SW,0.12526916,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,2337,0,,,"(47.53730672100005, -122.35500426399994)",661.4211452
803,20TH AVE NW,0.05067107,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,3019,0,,,"(47.669446651000044, -122.38212667299996)",267.5432531
804,GREENWOOD AVE N,0.05005224,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,10760,0,,,"(47.70146108400007, -122.35541487499995)",264.2758145
805,LATONA AVE NE,0.04999631,,,"In Street, Minor Separation",0,NA,LOCAL,11300,536,,,"(47.66716268500005, -122.325574228)",263.980515
806,CALIFORNIA AVE SW,0.04480764,12/31/2008 12:00:00 AM +0000,Sharrow,,0,MEETS,LOCAL,9563,0,,,"(47.54668273900006, -122.38719538199996)",236.5843447
807,NE 65TH ST,0.04982097,,,Sharrow,0,NA,LOCAL,17276,869,,,"(47.67577532900003, -122.30274202599998)",263.0547103
808,S JACKSON ST,0.06099609,,,Sharrow,0,NA,LOCAL,20491,745,,,"(47.59918859700008, -122.32375005399996)",322.0593467
809,S SPOKANE ST,0.04290183,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,21294,0,,,"(47.57192321100007, -122.30536636399995)",226.5216807
810,BEACON ER AVE S,0.09975655,12/31/2007 12:00:00 AM +0000,Sharrow,,0,MEETS,LOCAL,167339,0,,,"(47.547785357000066, -122.30076951799998)",526.714563
811,ELLIOTT BAY TRL,0.17866313,12/31/1970 12:00:00 AM +0000,Multi-use Trail,,0,MEETS,CITYWIDE,287052,0,,,"(47.61503359400007, -122.35487620099997)",943.3413155
812,NW 56TH ST,0.04927748,,,Neighborhood Greenway,0,NA,LOCAL,18452,602,,,"(47.66942785900005, -122.36080130299996)",260.1850686
813,LATONA AVE NE,0.0446919,12/31/2011 12:00:00 AM +0000,Sharrow,,0,MEETS,LOCAL,11289,533,,,"(47.65488891200005, -122.32570273299996)",235.9732091
814,MOUNTAINS TO SOUND TRL,0.06394276,12/31/1990 12:00:00 AM +0000,Multi-use Trail,,0,MEETS,CITYWIDE,287025,0,,,"(47.59057534600004, -122.29581202399999)",337.4626265
815,E GALER ST,0.05622576,,,Neighborhood Greenway,0,NA,LOCAL,14028,429,,,"(47.63229280300004, -122.304709678)",296.8720075
816,BEACON AVE S,0.12943705,12/31/2015 12:00:00 AM +0000,Multi-use Trail,,0,MEETS,LOCAL,9113,374,,,"(47.58370693100005, -122.31730148099996)",683.427625
817,1ST AVE NW,0.12547977,,,Neighborhood Greenway,0,NA,LOCAL,1173,166,,,"(47.71598597800005, -122.35821782899995)",662.533174
818,BEACON WR AVE S,0.06829693,12/31/2007 12:00:00 AM +0000,Sharrow,,0,MEETS,LOCAL,9139,0,,,"(47.55103162700004, -122.30205731899997)",360.6077809
819,DUWAMISH RIVER TRL,1.01389481,12/31/1990 12:00:00 AM +0000,Multi-use Trail,,1,MEETS,CITYWIDE,286968,0,,,"(47.555114512000046, -122.34816008799999)",5352.944194
820,NE 43RD ST,0.05249459,,,Sharrow,0,NA,LOCAL,16809,628,,,"(47.65985017300005, -122.31774151099995)",277.1714612
821,BURKE GILMAN TRL,0.07216377,12/31/1990 12:00:00 AM +0000,Multi-use Trail,,0,MEETS,CITYWIDE,287196,0,,,"(47.655179685000064, -122.36217128499999)",381.0246844
822,30TH AVE S,0.0624867,,,Neighborhood Greenway,0,NA,CITYWIDE,4676,865,,,"(47.59667888200005, -122.29389230199996)",329.9298019
823,N 60TH ST,0.01186554,,,Neighborhood Greenway,0,NA,CITYWIDE,336873,165,,,"(47.672350478000055, -122.35771969299998)",62.65005834
824,BEACON WR AVE S,0.00587834,12/31/2007 12:00:00 AM +0000,Sharrow,,0,MEETS,LOCAL,9128,0,,,"(47.56118864100006, -122.30511261099997)",31.03765941
825,DEXTER AVE N,0.05696117,12/31/1980 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,10082,0,,,"(47.630586279000056, -122.34229589399996)",300.7549845
826,CALIFORNIA AVE SW,0.05223953,12/31/2008 12:00:00 AM +0000,Sharrow,,0,MEETS,LOCAL,9546,0,,,"(47.57201585200005, -122.38676503299996)",275.8247353
827,S SPOKANE NR ST,0.03613612,12/31/1990 12:00:00 AM +0000,Multi-use Trail,,0,MEETS,CITYWIDE,21308,0,,,"(47.57156290100005, -122.34420594899996)",190.7987276
828,SW JUNEAU ST,0.03322581,,,Neighborhood Greenway,0,NA,LOCAL,22470,821,,,"(47.55022493000007, -122.38171474999996)",175.4322881
829,11TH AVE NE,0.16093025,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,1414,109,,,"(47.669431262000046, -122.31628658899996)",849.5447195
830,12TH AVE E,0.06138483,12/31/2009 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,1552,115,,,"(47.62110408800004, -122.31694644599997)",324.1118989
831,FREMONT AVE N,0.05005285,,Neighborhood Greenway,,0,MEETS,CITYWIDE,10529,0,,,"(47.69130348400006, -122.34992053399998)",264.279022
832,LATONA AVE NE,0.07830733,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,11294,0,,,"(47.66021064100005, -122.32512436399998)",413.4627205
833,M L KING JR WAY,0.06906719,12/31/2000 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,11481,541,,,"(47.60165615300008, -122.29676784199995)",364.6747823
834,PHINNEY AVE N,0.04929157,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,12144,680,,,"(47.66430588900005, -122.35396450599995)",260.2595149
835,PINEHURST WAY NE,0.03513424,12/31/2010 12:00:00 AM +0000,"In Street, Major Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,12226,708,,,"(47.709789356000044, -122.31787127499996)",185.4072483
836,E CHERRY ST,0.06627529,12/31/2008 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,13893,0,,,"(47.60800607300007, -122.30147660299997)",349.9335397
837,15TH AVE E,0.01116474,12/31/2009 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,CITYWIDE,2008,444,,,"(47.623102155000026, -122.31263095199995)",58.94985129
838,35TH AVE NE,0.0441521,12/31/2009 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0,UPGRADE,CITYWIDE,5379,244,,,"(47.69599216700004, -122.29056790399994)",233.1230679
839,4TH AVE S,0.0579911,12/31/2010 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0,UPGRADE,CITYWIDE,6227,298,,,"(47.60087544100003, -122.32896255799994)",306.1930237
840,BROAD ST,0.04916834,12/31/2009 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0,UPGRADE,CITYWIDE,9410,383,,,"(47.61503359400007, -122.35487620099997)",259.6085688
841,CORSON AVE S,0.21490668,12/31/2011 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,9835,403,,,"(47.544460300000026, -122.32242004399995)",1134.707279
842,DEXTER AVE N,0.03281181,12/31/1980 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,UPGRADE,LOCAL,10095,300,,,"(47.64570977100004, -122.34948774799994)",173.1651739
843,FAUNTLEROY WAY SW,0.08161071,12/31/2009 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0,UPGRADE,CITYWIDE,10416,476,,,"(47.52975380500004, -122.39271915899997)",430.9045378
844,14TH AVE NW,0.05037693,,,"In Street, Major Separation",0,NA,LOCAL,1902,127,,,"(47.67381545900008, -122.37357748199997)",265.9902087
845,32ND AVE NW,0.05035809,12/31/2009 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,4982,229,,,"(47.67296795900006, -122.39837000399996)",265.890709
846,4TH AVE,0.08072868,12/31/2009 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0,UPGRADE,CITYWIDE,6138,297,,,"(47.61383118700007, -122.34133314499996)",426.2474406
847,BANNER WAY NE,0.05984713,12/31/2009 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,9055,369,,,"(47.68395475400007, -122.32156892299997)",315.9928515
848,CALIFORNIA AVE SW,0.09020072,,,"In Street, Minor Separation",0,NA,LOCAL,9590,394,,,"(47.52246815700005, -122.38746745499998)",476.2580059
849,SW JUNEAU ST,0.06285383,,,Neighborhood Greenway,0,NA,LOCAL,22468,821,,,"(47.550183815000025, -122.37902674699995)",331.8682378
850,NE 103RD ST,0.1255829,,,Sharrow,0,NA,LOCAL,504367,612,,,"(47.70316024400006, -122.32584116399994)",663.0777211
851,42ND AVE S,0.05633591,,,Neighborhood Greenway,0,NA,LOCAL,6545,276,,,"(47.55783671100005, -122.28073397299994)",297.4536156
852,NE 47TH ST,0.0500161,,,Neighborhood Greenway,0,NA,CITYWIDE,16887,219,,,"(47.66316862700006, -122.32615210799997)",264.0850277
853,24TH AVE NE,0.05890674,,,Neighborhood Greenway,0,NA,LOCAL,3579,197,,,"(47.710263972000064, -122.30249023199997)",311.0276052
854,37TH AVE SW,0.13747163,,,Neighborhood Greenway,0,NA,LOCAL,5811,255,,,"(47.511983334000035, -122.37838077799995)",725.8502233
855,GREENWOOD AVE N,0.08702087,,,Neighborhood Greenway,0,NA,LOCAL,10706,390,,,"(47.65896396800008, -122.35545584299996)",459.4701901
856,51ST AVE S,0.05169594,,,Neighborhood Greenway,0,NA,LOCAL,7507,309,,,"(47.55484952100005, -122.26984352399995)",272.9545412
